description,level_1,level_2,level_3
"Server CPU usage is at 100%, causing application slowdown","Hardware","Server","CPU"
"Database connection timeout error in production","Software","Application","Database"
"Network switch failure in data center","Hardware","Network","Switch"
"Web server returning 500 internal server error","Software","Application","Web Server"
"Firewall blocking legitimate traffic","Hardware","Network","Firewall"
"System update failed during maintenance window","Software","Operating System","Updates"
"User unable to login due to password issues","Software","Application","Authentication"
"Memory leak causing server restarts","Hardware","Server","Memory"
"API endpoint returning timeout errors","Software","Application","API"
"Network cable damaged in server room","Hardware","Network","Cable"
"File permissions incorrect after deployment","Software","Operating System","Permissions"
"Router configuration error blocking VPN","Hardware","Network","Router"
"Database query taking too long to execute","Software","Application","Database"
"System service not starting on boot","Software","Operating System","Services"
"Authentication service down for users","Software","Application","Authentication"
"Storage disk failure in RAID array","Hardware","Server","Storage"
"Web server configuration syntax error","Software","Application","Web Server"
"Network interface card malfunction","Hardware","Server","Network Card"
"OS configuration file corrupted","Software","Operating System","Configuration"
"API rate limiting causing failures","Software","Application","API"
"Processor overheating in server rack","Hardware","Server","CPU"
"MySQL database server not responding","Software","Application","Database"
"Router crashed and needs reboot","Hardware","Network","Router"
"Apache web server configuration invalid","Software","Application","Web Server"
"Firewall policy misconfigured","Hardware","Network","Firewall"
"Windows update installation failed","Software","Operating System","Updates"
"LDAP authentication server offline","Software","Application","Authentication"
"Server running out of memory","Hardware","Server","Memory"
"GraphQL API service unavailable","Software","Application","API"
"Fiber optic cable cut in building","Hardware","Network","Cable"
"Wrong user permissions on shared folder","Software","Operating System","Permissions"
"BGP routing table corruption","Hardware","Network","Router"
"PostgreSQL slow query performance","Software","Application","Database"
"Docker service failed to start","Software","Operating System","Services"
"OAuth token validation failing","Software","Application","Authentication"
"SSD drive showing bad sectors","Hardware","Server","Storage"
"Nginx proxy server error 502","Software","Application","Web Server"
"Ethernet adapter not recognized","Hardware","Server","Network Card"
"Kernel parameters incorrectly set","Software","Operating System","Configuration"
"REST API call limit exceeded","Software","Application","API"
"Admin accidentally deleted critical files","Human Error","Operation","Data Entry"
"Wrong deployment configuration applied","Human Error","Configuration","Misconfiguration"
"Operator ran incorrect command","Human Error","Operation","Command Error"
"Missing environment variables in setup","Human Error","Configuration","Missing Setup"
